project_id,project_name,client_id,bu_id,region_id,pm_id,billing_model,start_date,end_date,bill_rate_usd_per_hr,fixed_fee_total_usd,status
PR00207,Deploy Open-Source Info-Mediaries,CL00168,BU00004,RG00006,PM00007,Fixed Fee,2023-06-05,2023-09-05,,202141.0,Active
PR00208,Innovate Global Synergies,CL00162,BU00007,RG00002,PM00032,T&M,2023-06-06,2024-06-06,117.0,,Completed
PR00209,Re-Contextualize Granular E-Markets,CL00029,BU00004,RG00001,PM00057,T&M,2025-05-04,2025-11-04,103.0,,Active
PR00210,Syndicate 24/365 Technologies,CL00177,BU00004,RG00004,PM00065,Fixed Fee,2025-01-08,2025-12-31,,98787.0,Completed
PR00211,Envisioneer Leading-Edge Infrastructures,CL00224,BU00001,RG00006,PM00018,T&M,2024-05-13,2024-11-13,136.0,,Active
PR00212,Enhance Robust Roi,CL00170,BU00008,RG00005,PM00049,T&M,2025-06-10,2025-12-10,118.0,,Active
PR00213,Matrix Virtual Paradigms,CL00234,BU00006,RG00005,PM00046,Fixed Fee,2024-10-11,2025-04-11,,264343.0,Completed
PR00214,Generate Rich Roi,CL00175,BU00005,RG00005,PM00062,T&M,2024-09-08,2025-06-08,73.0,,Active
PR00215,Matrix Robust Synergies,CL00143,BU00005,RG00002,PM00039,Fixed Fee,2024-03-25,2024-05-25,,437099.0,Active
PR00216,Maximize Sticky Supply-Chains,CL00177,BU00008,RG00003,PM00062,T&M,2024-04-08,2024-10-08,114.0,,Completed
PR00217,Target Rich Channels,CL00204,BU00005,RG00003,PM00016,Fixed Fee,2024-03-18,2024-05-18,,127449.0,Active
PR00218,Target Real-Time Solutions,CL00230,BU00007,RG00003,PM00019,T&M,2025-02-22,2025-12-31,111.0,,Active
PR00219,Facilitate Granular Bandwidth,CL00183,BU00002,RG00003,PM00057,Fixed Fee,2023-06-24,2024-06-24,,374370.0,Active
PR00220,Unleash Viral Synergies,CL00055,BU00004,RG00005,PM00035,Retainer,2024-02-04,2025-02-04,103.0,,Active
PR00221,Generate Distributed Networks,CL00036,BU00002,RG00005,PM00076,T&M,2024-06-07,2025-06-07,99.0,,Active
PR00222,Reinvent Wireless E-Commerce,CL00232,BU00004,RG00006,PM00030,T&M,2023-10-28,2024-10-28,131.0,,Active
PR00223,Harness E-Business Interfaces,CL00184,BU00008,RG00001,PM00018,T&M,2025-03-11,2025-12-11,69.0,,Active
PR00224,Reinvent Global Info-Mediaries,CL00238,BU00003,RG00004,PM00061,T&M,2023-05-29,2023-11-29,65.0,,Active
PR00225,Re-Contextualize Interactive Synergies,CL00247,BU00005,RG00003,PM00037,Fixed Fee,2024-05-17,2024-11-17,,646535.0,Completed
PR00226,Synergize Web-Enabled Systems,CL00023,BU00004,RG00005,PM00005,Retainer,2024-02-10,2024-11-10,112.0,,Active
PR00227,Facilitate Seamless Applications,CL00226,BU00003,RG00001,PM00051,Fixed Fee,2024-02-19,2024-11-19,,316317.0,Active
PR00228,Implement Back-End Experiences,CL00192,BU00005,RG00001,PM00002,T&M,2025-06-08,2025-08-08,157.0,,Active
PR00229,Scale Web-Enabled Markets,CL00238,BU00006,RG00003,PM00059,Retainer,2024-07-12,2025-01-12,114.0,,Active
PR00230,Target Extensible Communities,CL00127,BU00003,RG00005,PM00060,T&M,2023-07-03,2025-01-03,85.0,,Completed
PR00231,Innovate Extensible Initiatives,CL00085,BU00003,RG00006,PM00059,Fixed Fee,2024-09-21,2025-12-31,,328592.0,Active
PR00232,Redefine Distributed Relationships,CL00004,BU00006,RG00003,PM00073,Fixed Fee,2025-09-19,2025-12-31,,185967.0,Active
PR00233,Enhance Magnetic Channels,CL00157,BU00007,RG00004,PM00066,T&M,2025-08-12,2025-12-31,131.0,,Active
PR00234,Orchestrate Ubiquitous Metrics,CL00025,BU00003,RG00002,PM00062,T&M,2025-01-12,2025-12-31,77.0,,Active
PR00235,Deploy Collaborative Users,CL00067,BU00007,RG00002,PM00058,Fixed Fee,2024-08-03,2025-08-03,,210889.0,On Hold
PR00236,Engineer Interactive Methodologies,CL00078,BU00001,RG00003,PM00047,Fixed Fee,2023-12-06,2024-06-06,,209091.0,Active
PR00237,Cultivate Strategic Deliverables,CL00031,BU00008,RG00003,PM00021,T&M,2025-07-14,2025-12-31,130.0,,Active
PR00238,Mesh Bricks-And-Clicks Partnerships,CL00230,BU00005,RG00006,PM00016,Fixed Fee,2024-11-24,2025-05-24,,418984.0,Completed
PR00239,Embrace Leading-Edge Schemas,CL00095,BU00004,RG00002,PM00018,T&M,2025-05-26,2025-06-26,84.0,,Active
PR00240,Aggregate B2C Communities,CL00156,BU00006,RG00004,PM00071,Retainer,2025-02-24,2025-12-31,103.0,,Completed
PR00241,Iterate Visionary Initiatives,CL00206,BU00004,RG00002,PM00077,Retainer,2024-05-24,2024-07-24,110.0,,Active
PR00242,Unleash Holistic Infrastructures,CL00115,BU00006,RG00001,PM00073,T&M,2023-11-16,2024-08-16,110.0,,Completed
PR00243,Grow Leading-Edge Bandwidth,CL00232,BU00004,RG00005,PM00069,T&M,2025-03-03,2025-06-03,107.0,,Active
PR00244,Deliver Next-Generation Bandwidth,CL00134,BU00008,RG00001,PM00027,Fixed Fee,2023-07-24,2023-10-24,,168486.0,Active
PR00245,Streamline Plug-And-Play Methodologies,CL00231,BU00008,RG00001,PM00059,T&M,2025-05-26,2025-12-31,144.0,,Active
PR00246,Drive Vertical Interfaces,CL00145,BU00001,RG00005,PM00060,Fixed Fee,2024-04-23,2024-10-23,,61008.0,Active
PR00247,Transition Clicks-And-Mortar E-Tailers,CL00006,BU00007,RG00003,PM00001,Fixed Fee,2024-01-31,2024-03-31,,211776.0,Active
PR00248,Optimize Revolutionary E-Commerce,CL00012,BU00007,RG00003,PM00009,T&M,2025-06-17,2025-12-31,74.0,,Active
PR00249,Scale Innovative Users,CL00229,BU00002,RG00004,PM00005,T&M,2024-06-19,2025-03-19,100.0,,Active
PR00250,Re-Contextualize Innovative Info-Mediaries,CL00035,BU00007,RG00003,PM00049,T&M,2023-04-04,2023-06-04,133.0,,Completed
PR00251,Envisioneer Transparent Roi,CL00097,BU00007,RG00001,PM00070,T&M,2023-02-19,2023-03-19,92.0,,Completed
PR00252,Revolutionize Next-Generation Relationships,CL00031,BU00003,RG00005,PM00051,T&M,2023-07-30,2024-04-30,96.0,,Active
PR00253,Grow Enterprise Architectures,CL00058,BU00001,RG00001,PM00039,T&M,2024-08-17,2025-05-17,101.0,,Active
PR00254,Innovate Global Experiences,CL00109,BU00007,RG00002,PM00032,T&M,2023-05-05,2023-08-05,127.0,,Active
PR00255,Embrace Virtual Users,CL00049,BU00002,RG00001,PM00054,Fixed Fee,2024-06-24,2025-06-24,,98936.0,Completed
PR00256,Mesh End-To-End E-Services,CL00228,BU00001,RG00002,PM00027,T&M,2024-09-02,2024-12-02,124.0,,Active
PR00257,Engineer Vertical Content,CL00115,BU00001,RG00002,PM00006,T&M,2023-01-06,2023-02-06,68.0,,Active
PR00258,Innovate Cutting-Edge Users,CL00056,BU00001,RG00002,PM00065,Retainer,2024-12-20,2025-12-20,96.0,,Active
PR00259,Transition Bleeding-Edge Action-Items,CL00235,BU00006,RG00005,PM00077,Fixed Fee,2024-08-12,2024-11-12,,25000.0,Completed
PR00260,Seize B2C Niches,CL00061,BU00005,RG00002,PM00067,T&M,2024-12-16,2025-03-16,77.0,,Active
PR00261,Re-Contextualize One-To-One Paradigms,CL00016,BU00003,RG00006,PM00055,Fixed Fee,2023-10-20,2024-07-20,,168261.0,Active
PR00262,Re-Intermediate Vertical Action-Items,CL00089,BU00007,RG00005,PM00041,Fixed Fee,2024-10-13,2025-12-31,,309870.0,Active
PR00263,Optimize Mission-Critical Metrics,CL00077,BU00007,RG00002,PM00069,T&M,2023-11-17,2024-11-17,134.0,,Completed
PR00264,Grow Scalable Action-Items,CL00077,BU00003,RG00004,PM00008,Fixed Fee,2023-02-22,2024-02-22,,241458.0,On Hold
PR00265,Strategize Visionary E-Services,CL00143,BU00003,RG00004,PM00032,T&M,2023-03-10,2023-06-10,163.0,,Active
PR00266,Architect Leading-Edge Channels,CL00021,BU00008,RG00003,PM00012,T&M,2025-04-18,2025-07-18,114.0,,Completed
PR00267,Envisioneer Bleeding-Edge Networks,CL00014,BU00005,RG00004,PM00078,Fixed Fee,2025-02-21,2025-12-31,,265122.0,Completed
PR00268,Maximize World-Class Action-Items,CL00049,BU00004,RG00004,PM00027,Retainer,2024-05-10,2024-08-10,114.0,,Active
PR00269,Matrix B2B Web Services,CL00245,BU00001,RG00002,PM00025,Retainer,2024-04-13,2024-07-13,160.0,,Active
PR00270,Enhance Transparent Content,CL00194,BU00008,RG00002,PM00078,Fixed Fee,2025-03-20,2025-12-31,,397403.0,Active
PR00271,Streamline Virtual Functionalities,CL00062,BU00006,RG00003,PM00049,T&M,2024-03-03,2024-12-03,84.0,,Active
PR00272,Engage Rich Markets,CL00079,BU00005,RG00003,PM00066,Retainer,2024-10-25,2025-12-31,63.0,,Active
PR00273,Visualize Enterprise Deliverables,CL00206,BU00008,RG00003,PM00027,T&M,2024-06-19,2024-12-19,101.0,,Active
PR00274,Scale Next-Generation E-Markets,CL00145,BU00004,RG00006,PM00019,T&M,2024-05-10,2025-02-10,94.0,,Active
PR00275,Monetize Enterprise Roi,CL00150,BU00007,RG00003,PM00020,T&M,2023-08-20,2023-11-20,143.0,,Active
PR00276,Syndicate Web-Enabled E-Services,CL00146,BU00004,RG00004,PM00071,Fixed Fee,2025-04-15,2025-07-15,,644857.0,Active
PR00277,Iterate B2B Bandwidth,CL00066,BU00008,RG00006,PM00063,T&M,2024-04-12,2025-01-12,112.0,,Active
PR00278,Engage Transparent E-Markets,CL00091,BU00003,RG00002,PM00070,T&M,2023-03-31,2023-06-30,95.0,,Completed
PR00279,Mesh Global Architectures,CL00139,BU00001,RG00005,PM00005,Retainer,2025-05-15,2025-11-15,67.0,,Active
PR00280,Morph Best-Of-Breed Supply-Chains,CL00210,BU00001,RG00001,PM00053,T&M,2024-01-13,2025-01-13,109.0,,Active
PR00281,Re-Contextualize Customized Relationships,CL00018,BU00003,RG00001,PM00028,T&M,2023-05-03,2024-02-03,71.0,,Active
PR00282,Incubate Dynamic Markets,CL00159,BU00008,RG00006,PM00063,T&M,2023-05-24,2024-05-24,125.0,,Active
PR00283,Synergize Revolutionary Partnerships,CL00106,BU00001,RG00001,PM00068,Fixed Fee,2024-02-22,2024-05-22,,421620.0,Active
PR00284,Exploit Killer Info-Mediaries,CL00074,BU00001,RG00005,PM00056,Retainer,2023-10-20,2023-12-20,108.0,,Completed
PR00285,Cultivate Open-Source Content,CL00028,BU00002,RG00005,PM00020,T&M,2023-11-21,2024-02-21,136.0,,Active
PR00286,Architect Dynamic Initiatives,CL00065,BU00006,RG00003,PM00051,T&M,2023-01-24,2024-01-24,123.0,,On Hold
PR00287,Redefine Interactive Metrics,CL00118,BU00004,RG00006,PM00029,T&M,2025-01-13,2025-10-13,98.0,,Completed
PR00288,Strategize Web-Enabled Schemas,CL00021,BU00001,RG00001,PM00052,T&M,2023-11-14,2024-05-14,120.0,,Active
PR00289,Revolutionize Front-End Architectures,CL00015,BU00001,RG00006,PM00022,T&M,2024-05-14,2024-08-14,130.0,,Completed
PR00290,Incubate Synergistic Content,CL00166,BU00006,RG00005,PM00013,Retainer,2024-12-25,2025-01-25,82.0,,Completed
PR00291,Disintermediate Rich Bandwidth,CL00059,BU00004,RG00006,PM00073,T&M,2024-02-11,2025-08-11,138.0,,Active
PR00292,Exploit Collaborative Vortals,CL00020,BU00005,RG00005,PM00073,Fixed Fee,2023-06-03,2024-06-03,,172593.0,Active
PR00293,Disintermediate Turn-Key E-Markets,CL00218,BU00006,RG00001,PM00027,Fixed Fee,2023-11-12,2023-12-12,,325155.0,Completed
PR00294,Maximize Magnetic Eyeballs,CL00183,BU00007,RG00001,PM00039,T&M,2023-03-13,2023-05-13,115.0,,Active
PR00295,Morph Next-Generation Technologies,CL00214,BU00007,RG00006,PM00070,T&M,2023-01-26,2023-07-26,103.0,,Completed
PR00296,Aggregate Open-Source E-Services,CL00036,BU00002,RG00005,PM00045,T&M,2023-08-25,2023-11-25,146.0,,Active
PR00297,Maximize Interactive Models,CL00215,BU00002,RG00003,PM00078,Fixed Fee,2024-08-13,2024-11-13,,292454.0,On Hold
PR00298,Visualize Cross-Platform Portals,CL00102,BU00006,RG00001,PM00035,Fixed Fee,2025-05-05,2025-12-31,,409822.0,Active
PR00299,Drive Holistic Bandwidth,CL00059,BU00006,RG00005,PM00049,T&M,2025-01-29,2025-12-31,140.0,,Active
PR00300,Drive Synergistic Communities,CL00170,BU00007,RG00001,PM00080,T&M,2023-09-19,2024-03-19,167.0,,Active
PR00301,Drive Holistic Roi,CL00019,BU00002,RG00003,PM00020,T&M,2023-08-06,2024-08-06,67.0,,Completed
PR00302,Visualize Leading-Edge Deliverables,CL00040,BU00007,RG00003,PM00047,T&M,2025-04-22,2025-12-31,99.0,,Active
PR00303,E-Enable Intuitive Web Services,CL00079,BU00008,RG00003,PM00035,T&M,2023-02-22,2023-08-22,84.0,,Active
PR00304,Engineer Clicks-And-Mortar E-Markets,CL00111,BU00008,RG00005,PM00072,T&M,2023-03-17,2023-06-17,109.0,,Active
PR00305,E-Enable Bleeding-Edge Partnerships,CL00023,BU00006,RG00005,PM00012,Fixed Fee,2023-08-02,2024-02-02,,352393.0,Completed
PR00306,Implement Killer Mindshare,CL00222,BU00007,RG00001,PM00038,T&M,2023-08-23,2025-02-23,134.0,,Completed
PR00307,Disintermediate Leading-Edge E-Business,CL00186,BU00004,RG00005,PM00067,T&M,2024-12-09,2025-12-31,167.0,,Active
PR00308,Repurpose Compelling Web Services,CL00036,BU00005,RG00003,PM00035,T&M,2025-09-17,2025-11-17,114.0,,Active
PR00309,Utilize Clicks-And-Mortar Users,CL00112,BU00005,RG00004,PM00039,T&M,2025-01-27,2025-10-27,70.0,,Active
PR00310,Deploy Value-Added Web-Readiness,CL00065,BU00004,RG00006,PM00064,Fixed Fee,2025-05-06,2025-07-06,,166678.0,Active
PR00311,Drive Efficient Users,CL00028,BU00003,RG00003,PM00001,Retainer,2025-04-02,2025-12-31,97.0,,Active
PR00312,Utilize User-Centric Roi,CL00159,BU00007,RG00003,PM00057,T&M,2024-03-21,2025-09-21,145.0,,Completed
PR00313,Redefine Mission-Critical Deliverables,CL00221,BU00003,RG00003,PM00042,Fixed Fee,2023-06-16,2024-03-16,,193517.0,Active
PR00314,Incentivize Dynamic E-Business,CL00123,BU00006,RG00002,PM00051,Retainer,2023-08-20,2023-11-20,115.0,,Active
PR00315,Morph Synergistic Niches,CL00178,BU00008,RG00005,PM00032,T&M,2025-03-28,2025-12-28,88.0,,Active
PR00316,Evolve Out-Of-The-Box Interfaces,CL00202,BU00007,RG00003,PM00015,Retainer,2024-09-08,2025-09-08,94.0,,Active
PR00317,Maximize Interactive E-Services,CL00140,BU00003,RG00006,PM00071,T&M,2024-12-14,2025-12-14,123.0,,Active
PR00318,Innovate Strategic Experiences,CL00242,BU00004,RG00004,PM00038,Retainer,2024-04-10,2025-01-10,105.0,,Active
PR00319,Evolve Wireless Architectures,CL00218,BU00007,RG00006,PM00064,T&M,2023-02-19,2023-08-19,132.0,,Active
PR00320,Engage Collaborative Markets,CL00065,BU00003,RG00006,PM00055,Fixed Fee,2024-08-08,2025-02-08,,283568.0,Active
PR00321,Implement Frictionless Infrastructures,CL00154,BU00008,RG00005,PM00052,T&M,2025-09-16,2025-12-31,50.0,,Completed
PR00322,Iterate User-Centric Experiences,CL00223,BU00007,RG00005,PM00005,Fixed Fee,2025-02-15,2025-11-15,,406624.0,Active
PR00323,Maximize Mission-Critical Deliverables,CL00230,BU00002,RG00001,PM00032,Fixed Fee,2024-05-29,2025-02-28,,319382.0,Active
PR00324,Enhance Killer Networks,CL00166,BU00001,RG00005,PM00052,Retainer,2023-03-08,2024-03-08,124.0,,Active
PR00325,Empower Revolutionary Partnerships,CL00204,BU00007,RG00001,PM00002,T&M,2025-01-08,2025-12-31,120.0,,Active
PR00326,Productize Robust Roi,CL00192,BU00004,RG00004,PM00048,T&M,2024-03-11,2025-03-11,136.0,,Completed
PR00327,Utilize Best-Of-Breed Applications,CL00151,BU00003,RG00003,PM00004,T&M,2024-05-03,2025-02-03,93.0,,Active
PR00328,Engineer Impactful Partnerships,CL00236,BU00002,RG00001,PM00019,T&M,2023-08-12,2024-08-12,105.0,,Active
PR00329,Leverage Web-Enabled Networks,CL00201,BU00004,RG00005,PM00062,T&M,2024-04-09,2024-10-09,92.0,,Active
PR00330,Innovate Open-Source Architectures,CL00185,BU00008,RG00003,PM00009,T&M,2024-08-27,2025-08-27,110.0,,Completed
PR00331,Generate Strategic Mindshare,CL00030,BU00001,RG00003,PM00014,Fixed Fee,2023-08-06,2023-09-06,,26591.0,Active
PR00332,Streamline Mission-Critical E-Commerce,CL00190,BU00004,RG00005,PM00023,Fixed Fee,2024-06-21,2025-12-21,,361938.0,Active
PR00333,E-Enable Intuitive Supply-Chains,CL00110,BU00008,RG00002,PM00052,Fixed Fee,2023-12-27,2024-09-27,,282044.0,Active
PR00334,Revolutionize Impactful Vortals,CL00169,BU00007,RG00004,PM00004,Fixed Fee,2025-07-29,2025-09-29,,486617.0,Completed
PR00335,Whiteboard Real-Time Systems,CL00116,BU00007,RG00004,PM00001,Fixed Fee,2023-02-16,2024-08-16,,33775.0,Active
PR00336,Enhance Synergistic Schemas,CL00193,BU00002,RG00005,PM00014,Fixed Fee,2025-02-01,2025-12-31,,279113.0,Active
PR00337,Brand Viral Methodologies,CL00094,BU00006,RG00002,PM00059,T&M,2024-08-06,2024-11-06,100.0,,Active
PR00338,Repurpose Enterprise Infrastructures,CL00126,BU00006,RG00005,PM00050,Fixed Fee,2025-06-29,2025-12-31,,25000.0,Active
PR00339,Envisioneer Interactive Partnerships,CL00090,BU00006,RG00004,PM00080,T&M,2025-08-18,2025-09-18,119.0,,Active
PR00340,Empower B2C Architectures,CL00205,BU00005,RG00005,PM00076,T&M,2023-05-08,2023-06-08,149.0,,Active
PR00341,Orchestrate Integrated Vortals,CL00031,BU00004,RG00003,PM00015,T&M,2025-09-11,2025-12-31,67.0,,Active
PR00342,Transform E-Business Synergies,CL00131,BU00007,RG00004,PM00077,T&M,2024-07-14,2025-12-31,73.0,,Active
PR00343,Grow Bricks-And-Clicks Niches,CL00048,BU00008,RG00006,PM00069,Fixed Fee,2024-04-23,2024-06-23,,398096.0,Active
PR00344,Enable E-Business Roi,CL00045,BU00003,RG00004,PM00037,T&M,2023-06-08,2023-09-08,116.0,,Active
PR00345,Grow Transparent Platforms,CL00116,BU00001,RG00003,PM00002,T&M,2024-10-31,2025-07-31,104.0,,Active
PR00346,Evolve Synergistic Schemas,CL00099,BU00008,RG00004,PM00063,T&M,2023-02-10,2024-08-10,156.0,,Completed
PR00347,Expedite World-Class Architectures,CL00126,BU00003,RG00001,PM00073,T&M,2023-05-25,2023-11-25,132.0,,Completed
PR00348,Envisioneer Transparent Architectures,CL00075,BU00001,RG00003,PM00029,T&M,2023-01-20,2023-04-20,78.0,,Active
PR00349,Drive Interactive Networks,CL00118,BU00008,RG00005,PM00066,T&M,2023-05-12,2024-05-12,122.0,,Active
PR00350,Leverage Enterprise Communities,CL00199,BU00006,RG00005,PM00006,Fixed Fee,2025-03-20,2025-06-20,,318512.0,Active
PR00351,Empower Seamless Niches,CL00056,BU00007,RG00001,PM00032,T&M,2023-08-04,2024-08-04,121.0,,On Hold
PR00352,Orchestrate Innovative Communities,CL00116,BU00005,RG00003,PM00012,T&M,2025-02-05,2025-11-05,114.0,,On Hold
PR00353,Empower Next-Generation Content,CL00199,BU00004,RG00002,PM00076,Fixed Fee,2024-11-06,2025-11-06,,242535.0,Completed
PR00354,Generate Intuitive Relationships,CL00157,BU00007,RG00002,PM00079,T&M,2025-01-22,2025-03-22,93.0,,Active
PR00355,Incentivize Rich Metrics,CL00053,BU00001,RG00005,PM00045,T&M,2024-01-27,2024-04-27,91.0,,Active
PR00356,Aggregate Ubiquitous Platforms,CL00044,BU00006,RG00006,PM00038,T&M,2025-08-15,2025-12-31,131.0,,Active
PR00357,Monetize Clicks-And-Mortar Interfaces,CL00220,BU00002,RG00002,PM00053,Retainer,2023-07-30,2023-10-30,103.0,,On Hold
PR00358,E-Enable Enterprise Supply-Chains,CL00222,BU00003,RG00006,PM00017,T&M,2024-05-31,2024-06-30,98.0,,Active
PR00359,Facilitate User-Centric Experiences,CL00213,BU00004,RG00006,PM00051,T&M,2024-11-14,2025-08-14,135.0,,Active
PR00360,Enable Seamless Vortals,CL00069,BU00007,RG00004,PM00058,T&M,2025-07-12,2025-12-31,85.0,,Completed
PR00361,Scale 24/365 Info-Mediaries,CL00197,BU00002,RG00004,PM00066,Fixed Fee,2025-07-26,2025-10-26,,246609.0,Active
PR00362,Reinvent Impactful Vortals,CL00225,BU00006,RG00004,PM00063,T&M,2024-05-03,2025-05-03,104.0,,Active
PR00363,Extend Holistic Networks,CL00199,BU00002,RG00006,PM00059,Fixed Fee,2024-03-28,2024-09-28,,255649.0,Active
PR00364,Harness Enterprise Niches,CL00218,BU00002,RG00005,PM00051,T&M,2024-01-12,2024-07-12,84.0,,Active
PR00365,Disintermediate One-To-One Networks,CL00055,BU00008,RG00003,PM00042,Retainer,2024-09-02,2025-06-02,134.0,,Active
PR00366,Benchmark Viral Methodologies,CL00148,BU00003,RG00005,PM00063,Fixed Fee,2023-11-07,2024-02-07,,388695.0,Completed
PR00367,Utilize Plug-And-Play E-Tailers,CL00196,BU00001,RG00001,PM00013,Fixed Fee,2025-05-04,2025-06-04,,303688.0,Completed
PR00368,Exploit Distributed Partnerships,CL00005,BU00002,RG00002,PM00057,T&M,2024-11-12,2025-11-12,132.0,,On Hold
PR00369,Innovate Rich Channels,CL00110,BU00004,RG00006,PM00017,Retainer,2024-09-27,2025-03-27,112.0,,Active
PR00370,Monetize Web-Enabled Portals,CL00224,BU00005,RG00001,PM00047,T&M,2025-09-10,2025-12-31,161.0,,Active
PR00371,Unleash Cutting-Edge Architectures,CL00232,BU00003,RG00001,PM00051,Fixed Fee,2023-08-28,2024-02-28,,280682.0,Active
PR00372,Grow Compelling Applications,CL00194,BU00004,RG00004,PM00012,Fixed Fee,2023-04-25,2023-05-25,,177417.0,Active
PR00373,Incubate Next-Generation Users,CL00123,BU00002,RG00002,PM00076,T&M,2024-09-14,2025-09-14,84.0,,Active
PR00374,Generate Bricks-And-Clicks Users,CL00003,BU00001,RG00006,PM00044,Retainer,2023-02-27,2024-02-27,109.0,,On Hold
PR00375,Whiteboard Strategic Platforms,CL00109,BU00003,RG00004,PM00010,T&M,2025-07-11,2025-12-31,86.0,,Active
PR00376,Repurpose Synergistic Communities,CL00207,BU00002,RG00001,PM00041,T&M,2024-01-21,2025-07-21,110.0,,Active
PR00377,Integrate Wireless Supply-Chains,CL00098,BU00003,RG00006,PM00019,T&M,2025-08-09,2025-11-09,97.0,,Active
PR00378,Transform Value-Added Platforms,CL00157,BU00003,RG00004,PM00045,Fixed Fee,2024-10-30,2024-11-30,,25000.0,Active
PR00379,Enhance Magnetic Systems,CL00039,BU00007,RG00005,PM00057,Retainer,2024-02-06,2025-02-06,133.0,,Active
PR00380,Strategize Plug-And-Play Methodologies,CL00026,BU00003,RG00001,PM00076,Fixed Fee,2024-08-04,2025-02-04,,30343.0,Active
PR00381,Scale B2C Convergence,CL00110,BU00006,RG00002,PM00032,T&M,2025-07-03,2025-12-31,70.0,,Active
PR00382,Syndicate Sticky Technologies,CL00142,BU00005,RG00006,PM00004,Retainer,2023-02-08,2024-02-08,136.0,,Active
PR00383,Redefine Strategic Initiatives,CL00078,BU00004,RG00005,PM00078,T&M,2024-10-08,2025-12-31,69.0,,Active
PR00384,Seize Extensible Supply-Chains,CL00076,BU00001,RG00002,PM00064,T&M,2023-08-09,2024-05-09,146.0,,Active
PR00385,Generate Best-Of-Breed Deliverables,CL00164,BU00002,RG00005,PM00002,Retainer,2024-12-08,2025-12-08,120.0,,Completed
PR00386,Seize Collaborative Platforms,CL00034,BU00007,RG00005,PM00054,T&M,2025-01-20,2025-12-31,96.0,,Active
PR00387,Drive Customized Vortals,CL00196,BU00008,RG00001,PM00003,Fixed Fee,2024-11-11,2025-12-31,,206276.0,Active
PR00388,Monetize Revolutionary Initiatives,CL00056,BU00001,RG00001,PM00051,T&M,2023-04-15,2023-10-15,123.0,,Active
PR00389,Iterate Cross-Platform Experiences,CL00129,BU00007,RG00004,PM00052,T&M,2023-02-05,2023-08-05,54.0,,Active
PR00390,Innovate Frictionless Action-Items,CL00158,BU00003,RG00003,PM00011,T&M,2023-06-19,2024-03-19,100.0,,Active
PR00391,Reinvent Granular Supply-Chains,CL00053,BU00003,RG00005,PM00042,T&M,2025-03-12,2025-12-31,130.0,,Active
PR00392,Brand Plug-And-Play E-Services,CL00214,BU00002,RG00003,PM00056,Fixed Fee,2025-05-19,2025-11-19,,301975.0,Completed
PR00393,Whiteboard Viral Roi,CL00015,BU00004,RG00001,PM00056,T&M,2024-09-21,2025-12-31,71.0,,Active
PR00394,Repurpose User-Centric Interfaces,CL00015,BU00005,RG00006,PM00023,T&M,2025-09-21,2025-10-21,111.0,,Active
PR00395,Extend 24/365 Systems,CL00180,BU00001,RG00002,PM00064,Retainer,2023-02-15,2023-08-15,103.0,,Active
PR00396,Brand Integrated Synergies,CL00201,BU00005,RG00002,PM00048,T&M,2025-07-08,2025-10-08,147.0,,Completed
PR00397,Architect Efficient Partnerships,CL00069,BU00002,RG00001,PM00043,Retainer,2023-11-30,2024-01-30,131.0,,Active
PR00398,Transform Viral Relationships,CL00017,BU00005,RG00006,PM00074,Fixed Fee,2025-06-15,2025-12-15,,314506.0,Active
PR00399,Aggregate Ubiquitous Initiatives,CL00131,BU00006,RG00001,PM00064,Retainer,2024-05-21,2025-02-21,102.0,,Active
PR00400,Repurpose Holistic Deliverables,CL00041,BU00005,RG00001,PM00074,Fixed Fee,2024-02-12,2024-04-12,,244416.0,Active
PR00401,Harness Integrated E-Business,CL00190,BU00001,RG00001,PM00002,T&M,2025-09-19,2025-12-31,106.0,,Active
PR00402,Benchmark One-To-One Convergence,CL00099,BU00003,RG00002,PM00005,Fixed Fee,2024-09-01,2025-12-31,,49730.0,Completed
PR00403,Iterate Ubiquitous E-Business,CL00190,BU00007,RG00002,PM00042,T&M,2024-06-30,2024-07-30,113.0,,Completed
PR00404,Transition Seamless E-Business,CL00082,BU00005,RG00001,PM00074,T&M,2023-09-26,2024-09-26,134.0,,Active
PR00405,Evolve Global Vortals,CL00231,BU00001,RG00002,PM00029,Retainer,2025-07-05,2025-12-31,88.0,,On Hold
PR00406,Incentivize Extensible Initiatives,CL00245,BU00007,RG00001,PM00060,Retainer,2023-07-03,2023-08-03,137.0,,Completed
PR00407,Disintermediate B2B Mindshare,CL00080,BU00006,RG00001,PM00071,T&M,2023-10-12,2024-01-12,116.0,,Active
PR00408,Deploy Global Networks,CL00075,BU00005,RG00006,PM00080,T&M,2024-08-26,2025-02-26,105.0,,Active
PR00409,Brand Viral Models,CL00249,BU00008,RG00002,PM00070,Fixed Fee,2024-08-19,2025-05-19,,550511.0,Active
PR00410,Incubate Virtual Schemas,CL00002,BU00007,RG00001,PM00030,T&M,2025-09-14,2025-12-31,115.0,,Active
PR00411,Synthesize Front-End Channels,CL00178,BU00001,RG00003,PM00001,Fixed Fee,2023-09-17,2023-10-17,,317384.0,Active
PR00412,Harness Customized E-Business,CL00189,BU00005,RG00001,PM00027,T&M,2023-10-18,2024-07-18,125.0,,Active
PR00413,Cultivate Synergistic Synergies,CL00126,BU00001,RG00002,PM00036,T&M,2023-03-25,2023-09-25,90.0,,Completed
